In 100s,USA,EU,JAPAN,CHINA,INDIA,RUSSIA,KOREA
1,145.84,44.7588,5.371056,-38.79096,-27.84992,13.97562,-164.044455
2,127.22,31.05432,3.726518,-26.913744,-19.322688,14.05668,-73.880926
3,111.31,10.57986,1.269583,-9.169212,-6.583024,14.146329,-22.651648
4,103.37,7.61967,0.91436,-6.603714,-4.741128,14.260948,-18.830221
5,122.46,14.96529,1.795835,-12.969918,-9.311736,14.4238,-32.45444
6,117.82,3.59055,0.430866,-3.11181,-2.23412,14.663889,-28.023799
7,128.49,1.781595,0.213791,-1.544049,-1.108548,15.014328,-21.987052
8,133.02,29.02608,3.48313,-25.155936,-18.060672,15.509944,-16.725667
9,138.28,34.206345,4.104761,-29.645499,-21.283948,16.215943,-15.230326
10,166.03,41.63418,4.996102,-36.082956,-25.905712,17.222956,-25.0885
11,175.45,51.91254,6.229505,-44.990868,-32.301136,18.639976,-35.278973
12,192.63,59.148495,7.097819,-51.262029,-36.803508,20.584293,24.53467
13,208.67,71.153595,8.538431,-61.666449,-44.273348,23.167319,20.879392
14,229.25,73.42857,8.811428,-63.638094,-45.688888,26.475148,-26.916139
15,243.38,91.354005,10.962481,-79.173471,-56.842492,30.542725,-29.906822
16,267.11,121.91499,14.629799,-105.659658,-75.858216,35.320764,-71.665606
17,302.67,136.825425,16.419051,-118.582035,-85.13582,40.782956,13.901134
18,356.77,180.35082,21.642098,-156.304044,-112.218288,46.878184,107.941473
19,346.15,290.342925,34.841151,-251.630535,-180.65782,53.475902,151.638662
20,358.96,367.99245,44.159094,-318.92679,-228.97308,60.305185,199.046512
21,203.77,318.24522,38.189426,-275.812524,-198.019248,67.054627,222.307374
22,224.82,349.409205,41.929105,-302.821311,-217.410172,73.304046,258.58324
23,240.41,330.277725,39.633327,-286.240695,-205.50614,83.40735,371.896864
24,290.85,298.94931,35.873917,-259.089402,-186.012904,87.02614,322.329077
25,318.42,239.00598,28.680718,-207.138516,-148.714832,89.573691,210.732326
26,323.95,175.85577,21.102692,-152.408334,-109.421368,90.934353,316.347712
27,299.57,146.089665,17.53076,-126.611043,-90.900236,91.095035,283.782507
28,279.91,115.501275,13.860153,-100.101105,-71.86746,90.131616,158.229239
29,260.94,90.47691,10.857229,-78.413322,-56.296744,88.207333,106.169217
30,253.27,62.71164,7.525397,-54.350088,-39.020576,85.582416,56.656812
31,249.62,39.16737,4.700084,-33.945054,-24.370808,82.63333,-17.168731
32,218.76,21.351555,2.562187,-18.504681,-13.285412,79.588014,-19.827115
33,207.16,15.37641,1.845169,-13.326222,-9.567544,76.55537,-29.962205
34,190.3,15.51348,1.861618,-13.445016,-9.652832,73.555718,-78.145417
35,171.08,13.485195,1.618223,-11.687169,-8.390788,70.551122,-77.314672
36,163.28,19.624815,2.354978,-17.008173,-12.210996,67.475388,-88.225124
37,146.75,18.007695,2.160923,-15.606669,-11.204788,64.264106,-100.797065
38,135.28,24.010245,2.881229,-20.808879,-14.939708,60.885409,-113.590539
39,123.03,29.656485,3.558778,-25.702287,-18.452924,57.372091,-106.667664
40,121.6,33.685605,4.042273,-29.194191,-20.959932,53.855384,-112.482879
41,109.67,37.687275,4.522473,-32.662305,-23.44986,50.600101,-119.018073
42,110.92,35.13825,4.21659,-30.45315,-21.8638,47.742548,-130.260823
43,98.28,39.688155,4.762579,-34.396401,-24.694852,45.323082,-95.757212
44,82.83,29.766105,3.571933,-25.797291,-18.521132,43.314684,-70.613329
45,90.39,36.070155,4.328419,-31.260801,-22.443652,41.647154,-52.835385
46,80.18,34.91901,4.190281,-30.263142,-21.727384,40.227195,-11.907346
47,82.66,29.519415,3.54233,-25.583493,-18.367636,38.95509,-8.196684
48,71.82,32.534415,3.90413,-28.196493,-20.243636,37.738898,-13.679602
49,67.22,33.41151,4.009381,-28.956642,-20.789384,36.507178,-32.399057
50,67.15,29.163105,3.499573,-25.274691,-18.145932,35.221151,-68.564158
51,54.84,19.65222,2.358266,-17.031924,-12.228048,33.887015,-27.636118
52,51.61,16.11648,1.933978,-13.967616,-10.028032,32.491628,-22.208584
53,52.05,13.70448,1.644538,-11.877216,-8.527232,31.015846,-59.20443
54,53.41,4.44024,0.532829,-3.848208,-2.762816,29.448482,-53.610747
55,53.22,5.49675,0.65961,-4.76385,-3.4202,27.801058,-70.336414
56,51.69,0.946845,0.113621,-0.820599,-0.589148,26.123485,-45.690977
57,51.78,4.70187,0.564224,-4.074954,-2.925608,24.443766,-38.54657
58,51.86,8.07318,0.968782,-6.996756,-5.023312,22.784779,-61.41975
59,50.91,20.32497,2.438996,-17.614974,-12.646648,21.181068,-52.336938
60,51.02,0.31644,0.037973,-0.274248,-0.196896,19.695439,-51.838491
61,45.65,6.346395,0.761567,-5.500209,-3.948868,18.43499,-23.537776
62,48.49,12.15711,1.458853,-10.536162,-7.564424,17.452775,-24.423904
63,44.04,15.446205,1.853545,-13.386711,-9.610972,16.760403,-19.771732
64,42.25,8.593965,1.031276,-7.448103,-5.347356,16.337863,-34.946675
65,38.41,5.74344,0.689213,-4.977648,-3.573696,114.7131,75.3359
